institution,slug,country,continent,repository_code,archive_type,dr_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/516021?page_size=50&page=1,ok,200,1,0,"Lista DRTV/Gensyn 516021, página 1/1; coleção: Gensyn - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/440063?page_size=50&page=1,ok,200,1,0,"Lista DRTV/Gensyn 440063, página 1/1; coleção: Gensyn - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/445328?page_size=50&page=1,ok,200,15,0,"Lista DRTV/Gensyn 445328, página 1/1; coleção: Gensyn - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/546884?page_size=50&page=1,ok,200,0,0,"Lista DRTV/Gensyn 546884, página 1/1; coleção: Gensyn - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432543?page_size=50&page=1,ok,200,30,0,"Lista DRTV/Gensyn 432543, página 1/2; coleção: Gensyn: Historie - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432543?page_size=50&page=2,ok,200,12,0,"Lista DRTV/Gensyn 432543, página 2/2; coleção: Gensyn: Historie - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432544?page_size=50&page=1,ok,200,38,0,"Lista DRTV/Gensyn 432544, página 1/4; coleção: Gensyn: Kultur - Se kulturprogrammer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432544?page_size=50&page=2,ok,200,42,0,"Lista DRTV/Gensyn 432544, página 2/4; coleção: Gensyn: Kultur - Se kulturprogrammer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432544?page_size=50&page=3,ok,200,39,0,"Lista DRTV/Gensyn 432544, página 3/4; coleção: Gensyn: Kultur - Se kulturprogrammer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432544?page_size=50&page=4,ok,200,14,0,"Lista DRTV/Gensyn 432544, página 4/4; coleção: Gensyn: Kultur - Se kulturprogrammer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432525?page_size=50&page=1,ok,200,29,0,"Lista DRTV/Gensyn 432525, página 1/4; coleção: Gensyn: Dokumentar - Se dokumentarer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432525?page_size=50&page=2,ok,200,27,0,"Lista DRTV/Gensyn 432525, página 2/4; coleção: Gensyn: Dokumentar - Se dokumentarer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432525?page_size=50&page=3,ok,200,31,0,"Lista DRTV/Gensyn 432525, página 3/4; coleção: Gensyn: Dokumentar - Se dokumentarer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432525?page_size=50&page=4,ok,200,11,0,"Lista DRTV/Gensyn 432525, página 4/4; coleção: Gensyn: Dokumentar - Se dokumentarer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/442178?page_size=50&page=1,ok,200,47,0,"Lista DRTV/Gensyn 442178, página 1/2; coleção: Gensyn: Teater og TV-film - Se gamle Teater og TV-film fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/442178?page_size=50&page=2,ok,200,32,0,"Lista DRTV/Gensyn 442178, página 2/2; coleção: Gensyn: Teater og TV-film - Se gamle Teater og TV-film fra DR's arkiv her.",
