institution,slug,country,continent,repository_code,archive_type,iam_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/le-prince-et-les-petulants/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/fontvieille-plage-un-ete-au-lido/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/irene-vous-propose/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/atelier-cinema-au-centre-princesse-stephanie/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/4728-2/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/les-pecheurs-le-dimanche/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/au-pied-de-la-cathedrale/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/seance-de-gymnastique/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/les-ballets-de-monte-carlo-preparent-casse-noisette-circus/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/souvenirs-du-jardin-princesse-stephanie/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/une-bibliotheque-irlandaise-a-monaco/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/alain-delon-lhomme-presse/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/allons-au-theatre/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/jeu-set-et-match/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/notre-coquin-de-neveu/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/sur-la-jetee-du-port-de-monaco/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/a-monaco/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/jeux-des-petits-etats-deurope/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/david-lynch-serie-culte/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/lauguste-david-larible/,ok,200,0,0,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
