institution,slug,country,continent,repository_code,archive_type,ape_detail_url,content_available_in_ape,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
Rijksarchief te Kortrijk,rijksarchief-te-kortrijk,Belgium,Europe,BE-A0516,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0516,True,True,http://arch.arch.be/index.php?l=nl&m=praktische-info&r=onze-leeszalen&d=kortrijk,YouTube,http://www.youtube.com/watch?v=RDBVItQaAxg,Waarom digitaliseert het Rijksarchief niet alles?,Waarom digitaliseert het Rijksarchief niet alles?,Waarom digitaliseert het Rijksarchief niet alles? Een vraag die we héél vaak krijgen. Ontdek in deze video onze drie antwoorden! #InternationaleArchiefdag #I...,2023-06-09T01:00:11-07:00
Rijksarchief te Kortrijk,rijksarchief-te-kortrijk,Belgium,Europe,BE-A0516,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0516,True,True,http://arch.arch.be/index.php?l=nl&m=praktische-info&r=onze-leeszalen&d=kortrijk,YouTube,https://youtu.be/wqWP5hlRtcU,Historische kadasterplannen online,Historische kadasterplannen online,De creatie van het ‘primitief’ (in de zin van ‘eerste’) kadaster in de eerste helft van de 19de eeuw ging gepaard met de opmaak van tienduizenden kaarten en ...,2017-05-16T02:41:23-07:00
Rijksarchief te Kortrijk,rijksarchief-te-kortrijk,Belgium,Europe,BE-A0516,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0516,True,True,http://arch.arch.be/index.php?l=nl&m=praktische-info&r=onze-leeszalen&d=kortrijk,YouTube,https://www.youtube.com/watch?v=0nAc8PZDAWM,Instructievideo http://search.arch.be,Instructievideo http://search.arch.be,"Het Rijksarchief bewaart meer dan 350 kilometer archief. Jaarlijks komt daar, na selectie, meer dan 10 km bij. Hoe begin je te zoeken in die onvoorstelbare b...",2016-07-05T00:17:21-07:00
Cisterciácký klášter Vyšší Brod,cisterci-ck-kl-ter-vy-brod,Czech Republic,Europe,CZ-00000001093,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=CZ-00000001093,True,True,http://www.klastervyssibrod.cz/,YouTube,https://www.youtube.com/embed/GxrfhV3ex0o?si=xFk6EBWp6tp-eu-Y,YouTube,YouTube,,
Archives départementales de la Drôme,archives-d-partementales-de-la-dr-me,France,Europe,FR-FRAD026,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD026,True,True,http://archives.ladrome.fr,YouTube,https://youtu.be/UnGXYj15PJQ?si=mYJ_CEpz4blWeNFw,La Fille De Madame Angot - Acte I : Légende De La Mère Angot ''Marchande De Marée'',La Fille De Madame Angot - Acte I : Légende De La Mère Angot ''Marchande De Marée'',Provided to YouTube by Parlophone (France)La Fille De Madame Angot - Acte I : Légende De La Mère Angot ''Marchande De Marée'' · Jean Doussard - Denise Benoit...,2014-12-25T08:45:40-08:00
Archives départementales de la Drôme,archives-d-partementales-de-la-dr-me,France,Europe,FR-FRAD026,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD026,True,True,http://archives.ladrome.fr,YouTube,https://youtu.be/1fcr3CitpBo?si=ZUjuJ2zjqGZstfiM,Petit chagrin,Petit chagrin,Provided to YouTube by EpmPetit chagrin · Paul DelmetSes chansons & ses interpretes℗ epm 2000Released on: 1933-01-01Composer: Delmet PaulLyricist: Vaucaire M...,2014-06-01T19:53:07-07:00
Archives départementales de la Drôme,archives-d-partementales-de-la-dr-me,France,Europe,FR-FRAD026,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD026,True,True,http://archives.ladrome.fr,YouTube,https://www.youtube.com/watch?v=cGn3Zld74wM&list=RDcGn3Zld74wM&start_radio=1,La machtagouine,La machtagouine,Provided to YouTube by EpmLa machtagouine · BravoAnthologie de la chanson française - diseuses et auteurs (1900-1920)℗ epmReleased on: 1996-01-01Composer: Ou...,2018-06-22T18:36:19-07:00
Archives départementales de la Guadeloupe,archives-d-partementales-de-la-guadeloupe,France,Europe,FR-00000002144,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000002144,True,True,http://www.archivesguadeloupe.fr/,YouTube,https://youtu.be/Gp1guaNJR3k,"Conférence : une génération d’Algérie aux Antilles ?, Karine Sitcharn, 3/01/2022","Conférence : une génération d’Algérie aux Antilles ?, Karine Sitcharn, 3/01/2022",En partenariat avec la Société d'histoire de la Guadeloupe.Cette histoire par le bas met en évidence un éclatement de la jeunesse qui éclaire l’improbable co...,2023-09-14T07:53:06-07:00
Archives départementales de la Guadeloupe,archives-d-partementales-de-la-guadeloupe,France,Europe,FR-00000002144,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000002144,True,True,http://www.archivesguadeloupe.fr/,YouTube,https://www.youtube.com/watch?v=Q7wAbgvR-1E,"Conférence : la migration féminine dans le cadre du Bumidom par Clara Palmiste, 10/04/25.","Conférence : la migration féminine dans le cadre du Bumidom par Clara Palmiste, 10/04/25.",En partenariat avec la Société d’histoire de la Guadeloupe et le soutien de la Direction régionale des affaires culturellesCette conférence présente à différ...,2025-08-09T19:13:39-07:00
Archives départementales de la Guadeloupe,archives-d-partementales-de-la-guadeloupe,France,Europe,FR-00000002144,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-00000002144,True,True,http://www.archivesguadeloupe.fr/,YouTube,https://www.youtube.com/watch?v=d1zuRw6lyhY,"Conférence : le vote des femmes : retour sur les luttes en Guadeloupe, Clara Palmiste, 9/04/2024","Conférence : le vote des femmes : retour sur les luttes en Guadeloupe, Clara Palmiste, 9/04/2024","En partenariat avec la Société d'histoire de la GuadeloupeTitre complet : ""80 ans du droit de vote des femmes en France : retour sur les luttes en Guadeloupe...",2024-09-30T06:29:48-07:00
