institution,slug,country,continent,repository_code,archive_type,ape_detail_url,content_available_in_ape,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Archives départementales de la Charente-Maritime,archives-d-partementales-de-la-charente-maritime,France,Europe,FR-FRAD017,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD017,True,True,https://archives.charente-maritime.fr/,https://archives.charente-maritime.fr/jonzac,ok,200,0,0,,
Archives départementales de la Charente-Maritime,archives-d-partementales-de-la-charente-maritime,France,Europe,FR-FRAD017,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD017,True,True,https://archives.charente-maritime.fr/,https://archives.charente-maritime.fr/vous-etes,ok,200,0,0,,
Archives départementales de la Charente-Maritime,archives-d-partementales-de-la-charente-maritime,France,Europe,FR-FRAD017,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD017,True,True,https://archives.charente-maritime.fr/,https://archives.charente-maritime.fr/preparer-ses-recherches,ok,200,0,0,,
Archives départementales de la Charente-Maritime,archives-d-partementales-de-la-charente-maritime,France,Europe,FR-FRAD017,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD017,True,True,https://archives.charente-maritime.fr/,https://archives.charente-maritime.fr/particuliers-vos-archives-privees/quels-documents-confier,ok,200,0,0,,
Archives départementales de la Corrèze,archives-d-partementales-de-la-corr-ze,France,Europe,FR-FRAD019,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD019,True,True,http://www.archives.correze.fr/,https://www.archives.correze.fr/page/archiver-les-documents-publics,ok,200,0,0,,
Archives départementales de la Creuse,archives-d-partementales-de-la-creuse,France,Europe,FR-FRAD023,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD023,True,True,http://archives.creuse.fr,https://archives.creuse.fr/decouvrir/les-dossiers-du-mois,ok,200,0,0,,
Archives départementales de la Creuse,archives-d-partementales-de-la-creuse,France,Europe,FR-FRAD023,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD023,True,True,http://archives.creuse.fr,https://archives.creuse.fr/espace-memoire-refuge-resistances,ok,200,0,0,,
Archives départementales de la Creuse,archives-d-partementales-de-la-creuse,France,Europe,FR-FRAD023,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD023,True,True,http://archives.creuse.fr,https://archives.creuse.fr/gerer-vos-archives/service-ou-etablissement-public,ok,200,0,0,,
Archives départementales de la Creuse,archives-d-partementales-de-la-creuse,France,Europe,FR-FRAD023,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD023,True,True,http://archives.creuse.fr,https://archives.creuse.fr/espace-memoire-refuge-resistances/espace-pedagogique,ok,200,0,0,,
Archives départementales de la Creuse,archives-d-partementales-de-la-creuse,France,Europe,FR-FRAD023,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD023,True,True,http://archives.creuse.fr,https://archives.creuse.fr/enseigner/enseignement-primaire,ok,200,0,0,,
Archives départementales de la Dordogne,archives-d-partementales-de-la-dordogne,France,Europe,FR-FRAD024,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=FR-FRAD024,True,True,http://archives.dordogne.fr,https://archives.dordogne.fr/archives-numerisees/bibliotheque-numerique-du-perigord,ok,200,0,0,,
