institution,slug,country,continent,repository_code,archive_type,euscreen_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,ORF,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_DB6D820714B94913A7D19861D5EDE9F4,Goths,ORF,The item on Goths in Austria and their lifestyle.,,Goths,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,INA,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_74A34928487C409F99FE2C9BAB976B7E,Green tourism in the Bourbonnais mountains,INA,"The resort of La Loge des Gardes, at the summit of the Bourbonnais mountains, has developed several summer leisure activities. The region's farmers sell their products to tourists.",,Green tourism in the Bourbonnais mountains,,Visita e descoberta do arquivo,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,TV3 Televisió de Catalunya (TVC),EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_04BB042E710D43B78C1B8A427FB87A44,HONDA TRAINING COURSE FOR MOTORBIKE RIDERS: MARC COLOMER EXPLAINS HOW TO RIDE ON FOREST AND MOUNTAIN PATHS,TV3 Televisió de Catalunya (TVC),"Marc Colomer, trial motorbike racer, gives tips on how to ride a motorbike over forest and mountain paths.",,HONDA TRAINING COURSE FOR MOTORBIKE RIDERS: MARC COLOMER EXPLAINS HOW TO RIDE ON FOREST AND MOUNTAIN PATHS,,Formação e mediação,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,Deutsche Welle,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_C8B9375E3E6B432AAD1763918B2F2353,History of fashion photography,Deutsche Welle,An exhibition in Berlin illustrates the history of fashion photography in the past 90 years.,,History of fashion photography,,Coleções e serviços,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,NAVA,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_7C2E05D9F9AA4D71B8F2900C9F70CA4A,History of the magic cube,NAVA,"The Rubik Cube, or Magic Cube is an individual logical game. The sides of the cube are coloured differently and can be switched around the center of the side. The cube became popular throughout the world in a very short period and it is still very popular.",,History of the magic cube,,"Memória, narrativa e testemunho",Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,Deutsche Welle,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_B9D0686B3DBD46D78C9C7511E852D94D,Hockey: Tote Hosen - Leningrad Cowboys,Deutsche Welle,"The Toten Hosen and the Leningrad Cowboys are examples of punk rock and trash. In Düsseldorf they met for a game of ice hockey, all for a good cause.",,Hockey: Tote Hosen - Leningrad Cowboys,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,ORF,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_33EEBA69699F80650F832C9117112FA3,Horseshoes (Outdoor game),ORF,Throwing horseshoes is another popular folk sport in Austria. It is similar to curling or ice stock sport. The aim of the game is to hit a piece of wood (daube) with plates or horseshoes.,,Horseshoes (Outdoor game),,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,TVP,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_6DC548E7BF20453F9E923785CB77AE4B,How Varsovians welcome the New Year?,TVP,"We visit the largest New Year's Eve balls in Warsaw. Ball in the Palace of Culture and Science - fun for the whole. In the Victoria Hotel Zbigniew Wodecki entertains guests, while at the ball in the FSO's we can listen Stevie Wonder's hits. Varsovians uproariously greet the New Year.",,How Varsovians welcome the New Year?,,História e pesquisa,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,NAVA,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_03F23B460AFC44D48556621967C1345B,"Hungary in World War II, 1944-45",NAVA,"The programme examines Hungary's participation to World War II, with particular focus on the period of 1944-45. During the second Great War, Hungary went from the role of symbolic ally to a position where it was one of the countries that lost the war. The history of the German occupation of Hungary is presented, the measures brought by the occupation against Hungary's Jews, and the execution of these measures. The programme also takes a look at major military events. The question is asked: could Hungary have avoided German occupation?",,"Hungary in World War II, 1944-45",,Divulgação de serviços e projetos,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,RTBF,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_C461FD16C4A14FD4AD2099419469D462,Josephine Baker,RTBF,"Interview with the famous actress, dancer and music hall star (1906-1975).",,Josephine Baker,,Música e performance,Agregador audiovisual europeu
