institution,slug,country,continent,repository_code,archive_type,eye_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Eye Filmmuseum,eye-filmmuseum,Netherlands,Europe,NL-EYE,National film museum with public film-fragment catalogue,https://www.eyefilm.nl/en/collection/research,True,True,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/all/all?f%5B0%5D=field_cm_media_filter%3Awith%20film%20fragment,Eye Filmdatabase,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/de-man-zonder-hart,"Man zonder hart, De",film fragment; Dutch film history; Eye Filmdatabase,Ficha pública do Eye Filmdatabase filtrada por registros com fragmento de filme. | A listagem oficial declara presença de film fragment; a ficha é o local público do player. | thumbnail: https://filmdatabase.eyefilm.nl/files/filmdatabase/styles/220_260_manual_crop/public/collectie/collectiefotos/photo88065_0.jpg?itok=5qF1MsC4,,"Man zonder hart, De",,Registro audiovisual em arquivo fílmico,Arquivo audiovisual institucional
Eye Filmmuseum,eye-filmmuseum,Netherlands,Europe,NL-EYE,National film museum with public film-fragment catalogue,https://www.eyefilm.nl/en/collection/research,True,True,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/all/all?f%5B0%5D=field_cm_media_filter%3Awith%20film%20fragment,Eye Filmdatabase,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/maskeradefeest-te-utrecht-op-25-juni-1901,Maskeradefeest te Utrecht op 25 juni 1901,film fragment; Dutch film history; Eye Filmdatabase,Ficha pública do Eye Filmdatabase filtrada por registros com fragmento de filme. | A listagem oficial declara presença de film fragment; a ficha é o local público do player. | thumbnail: https://filmdatabase.eyefilm.nl/files/filmdatabase/styles/220_260_manual_crop/public/afbeeldingen/collectie_redactioneel/maskeradefeest_te_utrecht_1901_1928_flm41496_0.png?itok=7ANNaO3v,,Maskeradefeest te Utrecht op 25 juni 1901,,Registro audiovisual em arquivo fílmico,Arquivo audiovisual institucional
Eye Filmmuseum,eye-filmmuseum,Netherlands,Europe,NL-EYE,National film museum with public film-fragment catalogue,https://www.eyefilm.nl/en/collection/research,True,True,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/all/all?f%5B0%5D=field_cm_media_filter%3Awith%20film%20fragment,Eye Filmdatabase,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/medemblik,Medemblik,film fragment; Dutch film history; Eye Filmdatabase,Ficha pública do Eye Filmdatabase filtrada por registros com fragmento de filme. | A listagem oficial declara presença de film fragment; a ficha é o local público do player. | thumbnail: https://filmdatabase.eyefilm.nl/files/filmdatabase/styles/220_260_manual_crop/public/collectie/collectiefotos/41776%20Medemblik%203055_0.JPG?itok=LjI7GbBi,,Medemblik,,Registro audiovisual em arquivo fílmico,Arquivo audiovisual institucional
Eye Filmmuseum,eye-filmmuseum,Netherlands,Europe,NL-EYE,National film museum with public film-fragment catalogue,https://www.eyefilm.nl/en/collection/research,True,True,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/all/all?f%5B0%5D=field_cm_media_filter%3Awith%20film%20fragment,Eye Filmdatabase,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/de-medeminnaars,"Medeminnaars, De",film fragment; Dutch film history; Eye Filmdatabase,Ficha pública do Eye Filmdatabase filtrada por registros com fragmento de filme. | A listagem oficial declara presença de film fragment; a ficha é o local público do player. | thumbnail: https://filmdatabase.eyefilm.nl/files/filmdatabase/styles/220_260_manual_crop/public/collectie/collectiefotos/photo122752_0.jpg?itok=cOSBTvIF,,"Medeminnaars, De",,Registro audiovisual em arquivo fílmico,Arquivo audiovisual institucional
Eye Filmmuseum,eye-filmmuseum,Netherlands,Europe,NL-EYE,National film museum with public film-fragment catalogue,https://www.eyefilm.nl/en/collection/research,True,True,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/all/all?f%5B0%5D=field_cm_media_filter%3Awith%20film%20fragment,Eye Filmdatabase,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/het-meisje-met-de-blauwe-hoed,"Meisje met de blauwe hoed, Het",film fragment; Dutch film history; Eye Filmdatabase,Ficha pública do Eye Filmdatabase filtrada por registros com fragmento de filme. | A listagem oficial declara presença de film fragment; a ficha é o local público do player. | thumbnail: https://filmdatabase.eyefilm.nl/files/filmdatabase/styles/220_260_manual_crop/public/collectie/collectiefotos/photo63872_0.jpg?itok=Fe4qYQYI,,"Meisje met de blauwe hoed, Het",,Registro audiovisual em arquivo fílmico,Arquivo audiovisual institucional
Eye Filmmuseum,eye-filmmuseum,Netherlands,Europe,NL-EYE,National film museum with public film-fragment catalogue,https://www.eyefilm.nl/en/collection/research,True,True,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/all/all?f%5B0%5D=field_cm_media_filter%3Awith%20film%20fragment,Eye Filmdatabase,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/het-meisje-uit-de-bloemenvelden,"Meisje uit de bloemenvelden, Het",film fragment; Dutch film history; Eye Filmdatabase,Ficha pública do Eye Filmdatabase filtrada por registros com fragmento de filme. | A listagem oficial declara presença de film fragment; a ficha é o local público do player. | thumbnail: https://filmdatabase.eyefilm.nl/files/filmdatabase/styles/220_260_manual_crop/public/collectie/collectiefotos/20923%20Fille%20de%20delft%2024486_0.JPG?itok=3Id1jTIN,,"Meisje uit de bloemenvelden, Het",,Registro audiovisual em arquivo fílmico,Arquivo audiovisual institucional
Eye Filmmuseum,eye-filmmuseum,Netherlands,Europe,NL-EYE,National film museum with public film-fragment catalogue,https://www.eyefilm.nl/en/collection/research,True,True,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/all/all?f%5B0%5D=field_cm_media_filter%3Awith%20film%20fragment,Eye Filmdatabase,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/melkprodukten,Melkprodukten,film fragment; Dutch film history; Eye Filmdatabase,Ficha pública do Eye Filmdatabase filtrada por registros com fragmento de filme. | A listagem oficial declara presença de film fragment; a ficha é o local público do player. | thumbnail: https://filmdatabase.eyefilm.nl/files/filmdatabase/styles/220_260_manual_crop/public/collectie/collectiefotos/41967%20Melkprodukten%209672_0.JPG?itok=iQkT5qK3,,Melkprodukten,,Registro audiovisual em arquivo fílmico,Arquivo audiovisual institucional
Eye Filmmuseum,eye-filmmuseum,Netherlands,Europe,NL-EYE,National film museum with public film-fragment catalogue,https://www.eyefilm.nl/en/collection/research,True,True,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/all/all?f%5B0%5D=field_cm_media_filter%3Awith%20film%20fragment,Eye Filmdatabase,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/meni,Meni,film fragment; Dutch film history; Eye Filmdatabase,Ficha pública do Eye Filmdatabase filtrada por registros com fragmento de filme. | A listagem oficial declara presença de film fragment; a ficha é o local público do player. | thumbnail: https://filmdatabase.eyefilm.nl/files/filmdatabase/styles/220_260_manual_crop/public/afbeeldingen/collectie_redactioneel/42087_meni.1.jpg?itok=QC9RjMW_,,Meni,,Registro audiovisual em arquivo fílmico,Arquivo audiovisual institucional
Eye Filmmuseum,eye-filmmuseum,Netherlands,Europe,NL-EYE,National film museum with public film-fragment catalogue,https://www.eyefilm.nl/en/collection/research,True,True,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/all/all?f%5B0%5D=field_cm_media_filter%3Awith%20film%20fragment,Eye Filmdatabase,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/menschenwee,Menschenwee,film fragment; Dutch film history; Eye Filmdatabase,Ficha pública do Eye Filmdatabase filtrada por registros com fragmento de filme. | A listagem oficial declara presença de film fragment; a ficha é o local público do player. | thumbnail: https://filmdatabase.eyefilm.nl/files/filmdatabase/styles/220_260_manual_crop/public/collectie/collectiefotos/42135%20Menschenwee%2011644_0.JPG?itok=FlhmrXDQ,,Menschenwee,,Registro audiovisual em arquivo fílmico,Arquivo audiovisual institucional
Eye Filmmuseum,eye-filmmuseum,Netherlands,Europe,NL-EYE,National film museum with public film-fragment catalogue,https://www.eyefilm.nl/en/collection/research,True,True,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/all/all?f%5B0%5D=field_cm_media_filter%3Awith%20film%20fragment,Eye Filmdatabase,https://filmdatabase.eyefilm.nl/en/collection/film-history/film/mensendieck,Mensendieck,film fragment; Dutch film history; Eye Filmdatabase,Ficha pública do Eye Filmdatabase filtrada por registros com fragmento de filme. | A listagem oficial declara presença de film fragment; a ficha é o local público do player. | thumbnail: https://filmdatabase.eyefilm.nl/files/filmdatabase/styles/220_260_manual_crop/public/collectie/collectiefotos/42154%20Mensendieck%20248_0.JPG?itok=bTJRsGsw,,Mensendieck,,Registro audiovisual em arquivo fílmico,Arquivo audiovisual institucional
