institution,slug,country,continent,repository_code,archive_type,luce_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,https://patrimonio.archivioluce.com/luce-web/detail/IL5000052603/2/gli-americani-francia-111-adc-139.html?startPage=0,ok,200,1,1,Ficha pública do catálogo cinematográfico Luce verificada.,
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,https://patrimonio.archivioluce.com/luce-web/detail/IL5000052632/2/battaglia-sulle-colline-italiane-200-cbs-361.html?startPage=0,ok,200,1,1,Ficha pública do catálogo cinematográfico Luce verificada.,
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,https://patrimonio.archivioluce.com/luce-web/detail/IL5000052622/2/il-presidente-americano-wilson-parte-francia-111-h-1229.html?startPage=0,ok,200,1,1,Ficha pública do catálogo cinematográfico Luce verificada.,
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,https://patrimonio.archivioluce.com/luce-web/detail/IL5000052570/2/l-esercito-americano-italia-durante-prima-guerra-mondiale-111-h-1228.html?startPage=0,ok,200,1,1,Ficha pública do catálogo cinematográfico Luce verificada.,
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,https://patrimonio.archivioluce.com/luce-web/detail/IL5000052599/2/il-presidente-americano-wilson-italia-111-h-1235.html?startPage=0,ok,200,1,1,Ficha pública do catálogo cinematográfico Luce verificada.,
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,https://patrimonio.archivioluce.com/luce-web/detail/IL3000051121/1/-1141.html?startPage=0,ok,200,1,0,Ficha pública do catálogo cinematográfico Luce verificada.,
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,https://patrimonio.archivioluce.com/luce-web/detail/IL3000051441/1/-1474.html?startPage=0,ok,200,1,1,Ficha pública do catálogo cinematográfico Luce verificada.,
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,https://patrimonio.archivioluce.com/luce-web/detail/IL3000051173/1/-62.html?startPage=20,ok,200,1,1,Ficha pública do catálogo cinematográfico Luce verificada.,
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,https://patrimonio.archivioluce.com/luce-web/detail/IL3000052758/1/ragni-epeira-vita.html?startPage=20,ok,200,1,1,Ficha pública do catálogo cinematográfico Luce verificada.,
Cinecittà - Archivio Luce,cinecitt-archivio-luce,Italy,Europe,IT-CINECITTA-LUCE,Historical film and audiovisual archive,https://www.archivioluce.com/,True,True,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,https://patrimonio.archivioluce.com/luce-web/detail/IL3000083082/1/-1623.html?startPage=20,ok,200,1,1,Ficha pública do catálogo cinematográfico Luce verificada.,
