institution,slug,country,continent,repository_code,archive_type,bnfa_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,"https://www.europeanfilmgateway.eu/detail/%D0%9E,%20%D0%94%D0%9E%D0%91%D0%A0%D0%A3%D0%94%D0%96%D0%90%D0%9D%D0%A1%D0%9A%D0%98%20%D0%9A%D0%A0%D0%90%D0%99/bnfa::fb42eaac771f7e597ff27a7aa5d9835f",ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9F%D0%A0%D0%95%D0%93%D0%9B%D0%95%D0%94%D0%AA%20139/bnfa::5b106bff7d257925769f176656088ff6,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%98%D0%97%D0%91%D0%9E%D0%A0%20%D0%9D%D0%90%20%D0%A6%D0%90%D0%A0%D0%98%D0%A6%D0%90%20%D0%9D%D0%90%20%D0%9B%D0%AA%D0%94%D0%96%D0%95%D0%9D%D0%A1%D0%9A%D0%98%D0%AF%20%D0%9F%D0%9B%D0%90%D0%96/bnfa::39bc1687683a6d21103b407a4ae78314,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9B%D1%8E%D0%B1%D0%BE%D0%B2%D1%82%D0%B0%20%D0%B5%20%D0%BB%D1%83%D0%B4%D0%BE%D1%81%D1%82/bnfa::6d19ddf05f625b3ba388fdd188adff5a,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9F%D0%98%D0%99%D0%A2%D0%95%20%D0%A1%D0%90%D0%9C%D0%9E%20%D0%A8%D0%A3%D0%9C%D0%95%D0%9D%D0%A1%D0%9A%D0%9E%20%D0%9F%D0%98%D0%92%D0%9E/bnfa::98c42d4d36da3333b9b07407579c09a7,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9F%D1%80%D0%B5%D0%B3%D0%BB%D0%B5%D0%B4%D1%8A%20163/bnfa::dde2cf59e889424234c66a052973a580,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9F%D0%9E%D0%96%D0%90%D0%A0%D0%9D%D0%90%20%D0%9A%D0%9E%D0%9C%D0%90%D0%9D%D0%94%D0%90%201938%D0%B3./bnfa::6f6bd6220b077c43c0b1d2a53a00e4c6,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9F%D1%80%D0%B5%D0%B3%D0%BB%D0%B5%D0%B4%D1%8A%20165/bnfa::83651cc6288a5830ba9feecc862e0124,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9B%D0%AE%D0%91%D0%9E%D0%92%D0%A2%D0%90%20%D0%95%20%D0%9B%D0%A3%D0%94%D0%9E%D0%A1%D0%A2/bnfa::719c989019ba4d287ff1c01d3b473b4a,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%20%D0%BA%D0%B8%D0%BD%D0%BE%20%D0%BF%D1%80%D0%B5%D0%B3%D0%BB%D0%B5%D0%B4%202/bnfa::e6e6f7462f207ae8659d4c4ba13d66bc,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
