institution,slug,country,continent,repository_code,archive_type,csc_cineteca_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/oggi-9-dicembre-compie-90-anni-francesco-maselli-per-tutti-citto-il-csc-dove-si-e-diplomato-nel-1949-lo-festeggia-con-grande-affetto/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/il-csc-alla-casa-del-cinema-il-meglio-dei-lunedi-della-cineteca-nazionale/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/giuliano-montaldo-racconta-carlo-lizzani/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/gianna-giachetti-ricorda-romolo-valli/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/gabriele-tozzi-ricorda-romolo-valli/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/giorgio-treves-ricorda-romolo-valli/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/paolo-valli-ricorda-romolo-valli/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/giulia-lazzarini-ricorda-romolo-valli/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/il-trailer-del-film-glauber-claro-dellex-allievo-del-csc-cesar-meneghetti-2020/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,https://www.fondazionecsc.it/film/la-cineteca-nazionale-celebra-la-giornata-mondiale-dellaudiovisivo-con-i-suoi-due-ultimi-restauri-padre-padrone-e-in-nome-della-legge-2/,ok,200,1,1,Ficha pública do Catalogo video verificada sem baixar mídia.,
