institution,slug,country,continent,repository_code,archive_type,cineam_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-jardin-poulailler-et-plaines-environnantes-au-pays-905-0-0-0.html?_doc=9%3A4%3A3830&page=2,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-porte-d-auteuil-construction-du-pont-garigliano-905-0-0-0.html?_doc=9%3A4%3A4219&page=2,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-fete-905-0-0-0.html?_doc=9%3A4%3A3079&page=2,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-visite-du-maire-a-l-ecole-mme-tessier-905-0-0-0.html?_doc=9%3A4%3A3078&page=2,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-piscine-kermesse-905-0-0-0.html?_doc=9%3A4%3A3077&page=2,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-deauville-kermesse-905-0-0-0.html?_doc=9%3A4%3A3076&page=2,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-karting-fete-musique-kermesse-1960-905-0-0-0.html?_doc=9%3A4%3A3072&page=2,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-1960-ii-karting-fete-musique-kermesse-905-0-0-0.html?_doc=9%3A4%3A3070&page=2,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-ecoles-danse-theatre-sorties-karting-905-0-0-0.html?_doc=9%3A4%3A3069&page=2,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-rentree-des-classes-1958-905-0-0-0.html?_doc=9%3A4%3A3064&page=2,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-1959-ii-905-0-0-0.html?_doc=9%3A4%3A3065&page=2,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-dieppe-defile-kermesse-1958-905-0-0-0.html?_doc=9%3A4%3A3063&page=2,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-monique-jacqueline-a-table-bapteme-communion-grandjean-905-0-0-0.html?_doc=9%3A4%3A3795&page=2,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-une-bonne-farce-sucy-au-printemps-montevrain-905-0-0-0.html?_doc=9%3A4%3A3648&page=2,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-lourdes-hiver-a-chamonix-la-belgique-905-0-0-0.html?_doc=9%3A4%3A3647&page=2,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-charles-et-alice-entre-amis-vacances-a-trouville-905-0-0-0.html?_doc=9%3A4%3A3646&page=2,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
