institution,slug,country,continent,repository_code,ape_detail_url,archive_type,external_url,website_available,content_available_in_ape
Bærum Kommune,b-rum-kommune,Norway,Europe,NO-00000028911,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028911,,https://www.baerum.kommune.no/,True,True
Bergen byarkiv,bergen-byarkiv,Norway,Europe,NO-00000028277,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028277,,https://www.bergen.kommune.no/omkommunen/avdelinger/bergen-byarkiv,True,True
Drammen byarkiv,drammen-byarkiv,Norway,Europe,NO-00000028278,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028278,Municipal archives,https://www.drammen.kommune.no/no/Om-kommunen/Virksomheter/Service-og-administrasjon/Byarkivet/,True,True
Finnmark fylkesbibliotek,finnmark-fylkesbibliotek,Norway,Europe,NO-00000028279,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028279,County/local authority archives,http://www.fm.fylkesbibl.no/web/,True,True
Folloarkivet,folloarkivet,Norway,Europe,NO-00000028280,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028280,Municipal archives,http://www.folloarkivet.no,True,True
Fredrikstad byarkiv,fredrikstad-byarkiv,Norway,Europe,NO-00000028841,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028841,,https://www.fredrikstad.kommune.no,True,True
Fylkesarkivet i Oppland / IKA Opplandene,fylkesarkivet-i-oppland-ika-opplandene,Norway,Europe,NO-00000028281,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028281,,http://www.farkiv.no/,True,True
Fylkesarkivet i Sogn og Fjordane,fylkesarkivet-i-sogn-og-fjordane,Norway,Europe,NO-00000028282,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028282,County/local authority archives,http://www.fylkesarkiv.no/,True,True
Fylkesarkivet i Vestland,fylkesarkivet-i-vestland,Norway,Europe,NO-00000028915,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028915,,https://www.fylkesarkivet.no/,True,True
Gudbrandsdalsmusea AS,gudbrandsdalsmusea-as,Norway,Europe,NO-00000028834,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028834,,https://gudbrandsdalsmusea.no/,True,True
Hordaland fylkesarkiv,hordaland-fylkesarkiv,Norway,Europe,NO-00000028284,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028284,County/local authority archives,http://www.hordaland.no/fylkesarkivet,True,True
IKA Kongsberg,ika-kongsberg,Norway,Europe,NO-00000028285,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028285,County/local authority archives,http://www.ikakongsberg.no/,True,True
IKA Møre og Romsdal,ika-m-re-og-romsdal,Norway,Europe,NO-00000028286,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028286,Municipal archives,http://www.ikamr.no/,True,True
IKA Trøndelag,ika-tr-ndelag,Norway,Europe,NO-00000028287,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028287,Municipal archives,http://www.ika-trondelag.no/ika/,True,True
IKAVA,ikava,Norway,Europe,NO-00000028288,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028288,Municipal archives,http://www.ikava.no/,True,True
Interkommunalt arkiv i Hordaland,interkommunalt-arkiv-i-hordaland,Norway,Europe,NO-00000028844,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028844,Municipal archives,,False,True
Interkommunalt arkiv i Rogaland iks,interkommunalt-arkiv-i-rogaland-iks,Norway,Europe,NO-00000028289,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028289,Municipal archives,http://ikarogaland.no/,True,True
Kraftmuseet,kraftmuseet,Norway,Europe,NO-00000028833,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028833,,http://www.kraftmuseet.no,True,True
"Kvinnemuseet, Anno Museum",kvinnemuseet-anno-museum,Norway,Europe,NO-00000028825,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028825,,http://www.kvinnemuseet.no,True,True
MF vitenskapelig høyskole,mf-vitenskapelig-h-yskole,Norway,Europe,NO-00000028914,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028914,,https://www.mf.no/bibliotek/mfs-historiske-arkiv,True,True
"Misjonshøgskolen, misjonsarkivet",misjonsh-gskolen-misjonsarkivet,Norway,Europe,NO-00000028290,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028290,,http://www.mhs.no/,True,True
Misjonskirken Norge,misjonskirken-norge,Norway,Europe,NO-00000028828,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028828,,http://mknu.no/historiskarkivsenter,True,True
Mjøsmuseet,mj-smuseet,Norway,Europe,NO-00000028326,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028326,Specialised non-governmental archives and archives of other cultural (heritage) institutions,http://www.mjosmuseet.no/,True,True
