institution,slug,country,continent,repository_code,archive_type,filmoteca_valenciana_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-extranjero/no-ficcion/la-moda-femenina-la-mode-a-paris/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-extranjero/no-ficcion/serpentine-dance-danza-serpentina/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/,ok,200,0,0,Página de categoria ou ficha sem player Vimeo detectado.,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-extranjero/no-ficcion/une-reserve-dobusiers/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/ficcion/,ok,200,0,0,Página de categoria ou ficha sem player Vimeo detectado.,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/ficcion/el-monje-de-porta-coeli/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/ficcion/castigo-de-dios/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/ficcion/de-la-raza-cale/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/ficcion/la-barrera-numero-13/,ok,200,2,2,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/ficcion/huerta-valenciana/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/ficcion/les-barraques-o-una-tragedia-de-la-huerta/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/no-ficcion/,ok,200,0,0,Página de categoria ou ficha sem player Vimeo detectado.,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/ficcion/moros-y-cristianos/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/no-ficcion/construccion-del-parque-escolar-y-visita-del-general-primo-de-rivera-a-la-ciudad-de-carlet/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/no-ficcion/bellezas-de-la-provincia-de-castellon/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/no-ficcion/betera-festes-alfabegues/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/no-ficcion/coronacion-virgen-castellon/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/no-ficcion/benlliure/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/no-ficcion/fallas-de-valencia-1932/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/no-ficcion/corrida-valenciana-de-la-prensa/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/no-ficcion/fallas-de-valencia/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/no-ficcion/fiestas-en-burriana/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/no-ficcion/familiar-roncoroni-mario-familia-munoz-carbonero-en-la-alameda/,ok,200,0,0,Página de categoria ou ficha sem player Vimeo detectado.,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/no-ficcion/gran-feria-y-fiestas-en-jativa/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/no-ficcion/inauguracion-del-balneario-de-aguas-de-busot-alicante/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/no-ficcion/inedito-alicante-construccion-del-ferrocarril-en-tibi-venta-de-llemena-y-castalla/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/no-ficcion/la-industria-de-la-seda/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/no-ficcion/juan-gil-albert-la-vida-como-legado/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/no-ficcion/la-trilla-del-arroz-en-la-ribera-del-jucar/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-valenciano/no-ficcion/les-fogueres-de-san-chuan-en-alicante/,ok,200,1,1,,
