institution,slug,country,continent,repository_code,archive_type,asim_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Las%20islas%20de%20la%20calma%20(part%204)/asim::a13324505814e7b344bc59563bcb06f0,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Las%20islas%20de%20la%20calma%20(part%203)/asim::0d7d1faa7c73b2b221f4daf097252003,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/La%20isla%20del%20sol%20(part%201)/asim::4ff15464fc43d9ae920570da9d0d9a9b,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/La%20isla%20del%20sol%20(part%202)/asim::1f02d2263eafdf9a6549ad5c23776f0f,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Las%20islas%20de%20la%20calma%20(part%201)/asim::7226c4d7398cafdf2918aa8a85bc24fa,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Las%20islas%20de%20la%20calma%20(part%202)/asim::43dd68433b1232a5add6f55f4e02163d,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Monestirs%20i%20castells%20roquers%20de%20Mallorca%20(part%201)/asim::7bb973bc4b373d93172e9bd39497c4f0,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Monestirs%20i%20castells%20roquers%20de%20Mallorca%20(part%202)/asim::310251a7b3542ee896875e5d28783432,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Monestirs%20i%20castells%20roquers%20de%20Mallorca%20(part%203)/asim::8f572ac987b841912e43abf91a401168,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Una%20vez%20m%C3%A1s%20hacia%20Mallorca/asim::42c52581e6834db34ae2046c386656a0,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Mallorca%2076%20(part%201)/asim::8a03c95ad0ea3d4916fcda29d6ccfe6f,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Mallorca%2076%20(part%202)/asim::693cc4187dbb3b871190e9b68184d231,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Mallorca%2076%20(part%203)/asim::f398d681d09166c699725fc111d9902a,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Las%20noches%20del%20Comte%20Mal/asim::04e5cbb6f612539b1e51bb5b21a5959d,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,https://www.europeanfilmgateway.eu/detail/Impromptu%20balear%20(part%201)/asim::a53414a8d8547eb92e3cb933aaaa5bb1,ok,200,1,1,"Ficha pública de vídeo do ASIM no EFG, com metadados e player/link externo quando disponível.",
